#Temp 	 Druck 	 DeltaTemp 	 DeltaP 
24.3951806655	0	0.421975903327	10000.0
85.5162800249	100000	0.727581400124	10000.0
104.734746439	200000	0.823673732194	10000.0
119.819619277	300000	0.899098096387	10000.0
131.778155731	400000	0.958890778656	10000.0
140.308828025	500000	1.00154414013	10000.0
148.594367151	600000	1.04297183575	10000.0
154.487323753	700000	1.07243661876	10000.0
158.779873702	800000	1.09389936851	10000.0
164.153609051	900000	1.12076804525	10000.0
168.997650889	1000000	1.14498825444	10000.0
172.500669812	1100000	1.16250334906	10000.0
177.087314711	1200000	1.18543657356	10000.0
181.410157925	1300000	1.20705078962	10000.0
185.468129798	1400000	1.22734064899	10000.0
188.989208027	1500000	1.24494604014	10000.0
191.971615788	1600000	1.25985807894	10000.0
194.413841944	1700000	1.27206920972	10000.0
197.401327038	1800000	1.28700663519	10000.0
200.391615742	1900000	1.30195807871	10000.0
203.384715964	2000000	1.31692357982	10000.0
206.108162598	2100000	1.33054081299	10000.0
208.288601632	2200000	1.34144300816	10000.0
210.743386521	2300000	1.35371693261	10000.0
212.380965381	2400000	1.3619048269	10000.0
214.565720098	2500000	1.37282860049	10000.0
217.025370796	2600000	1.38512685398	10000.0
219.486933397	2700000	1.39743466699	10000.0
221.676597707	2800000	1.40838298853	10000.0
223.593798543	2900000	1.41796899272	10000.0
224.963940125	3000000	1.42481970063	10000.0
226.883137363	3100000	1.43441568682	10000.0
228.254707175	3200000	1.44127353588	10000.0
230.450459743	3300000	1.45225229871	10000.0
231.823581856	3400000	1.45911790928	10000.0
233.472118406	3500000	1.46736059203	10000.0
235.121518069	3600000	1.47560759035	10000.0
236.496678089	3700000	1.48248339045	10000.0
238.147663653	3800000	1.49073831826	10000.0
