#Temp 	 p/p0 	 DeltaTemp 	 DeltaP/p0 
387.668754924	1.96656833825	0.872593774621	0.0983284169125
402.532933064	2.94985250737	0.946914665322	0.0983284169125
412.925003799	3.9331366765	0.998875018997	0.0983284169125
422.279646849	4.91642084562	1.04564823425	0.0983284169125
429.782885024	5.89970501475	1.08316442512	0.0983284169125
435.153039352	6.88298918387	1.11001519676	0.0983284169125
441.070566585	7.866273353	1.13960283292	0.0983284169125
445.920291095	8.84955752212	1.16385145548	0.0983284169125
450.507321672	9.83284169125	1.18678660836	0.0983284169125
454.560157925	10.8161258604	1.20705078962	0.0983284169125
458.618129798	11.7994100295	1.22734064899	0.0983284169125
462.139208027	12.7826941986	1.24494604014	0.0983284169125
465.664171194	13.7659783677	1.26257085597	0.0983284169125
469.193032187	14.7492625369	1.28021516093	0.0983284169125
471.638379949	15.732546706	1.29244189974	0.0983284169125
474.901766831	16.7158308751	1.30875883415	0.0983284169125
478.168503945	17.6991150442	1.32509251973	0.0983284169125
480.893351537	18.6823992134	1.33871675769	0.0983284169125
483.62053887	19.6656833825	1.35235269435	0.0983284169125
486.623154544	20.6489675516	1.36736577272	0.0983284169125
488.808662434	21.6322517207	1.37829331217	0.0983284169125
490.448783255	22.6155358899	1.38649391627	0.0983284169125
492.636933397	23.598820059	1.39743466699	0.0983284169125
494.826597707	24.5821042281	1.40838298853	0.0983284169125
497.291783879	25.5653883972	1.4207089194	0.0983284169125
499.210481432	26.5486725664	1.43030240716	0.0983284169125
501.404707175	27.5319567355	1.44127353588	0.0983284169125
503.325907065	28.5152409046	1.45087953532	0.0983284169125
504.973581856	29.4985250737	1.45911790928	0.0983284169125
506.347302413	30.4818092429	1.46598651206	0.0983284169125
507.446710264	31.465093412	1.47148355132	0.0983284169125
509.096541992	32.4483775811	1.47973270996	0.0983284169125
510.472062585	33.4316617502	1.48661031293	0.0983284169125
511.572912165	34.4149459194	1.49211456082	0.0983284169125
512.674147164	35.3982300885	1.49762073582	0.0983284169125
513.224909322	36.3815142576	1.50037454661	0.0983284169125
513.775767988	37.3647984267	1.50312883994	0.0983284169125
